year	sexo	estud_gr	edad_gr	min_t	p20_t	p40_t	p60_t	p80_t	max_t
1999	6	2	6	16.8	33.4	38.5	45.3	53.2	68.3
1999	6	2	7	0.0	16.9	21.2	27.1	31.7	59.6
1999	6	2	8	0.0	0.0	0.0	2.2	5.8	21.8
1999	6	2	99	22.5	30.3	35.7	39.1	45.0	57.2
1999	6	3	1	0.0	0.0	0.0	0.0	38.2	100.0
1999	6	3	2	10.0	18.8	25.4	30.6	38.8	62.8
1999	6	3	3	31.4	48.0	54.5	59.7	68.0	79.5
1999	6	3	4	55.2	61.8	73.2	77.0	81.0	96.7
1999	6	3	5	59.4	75.2	77.4	82.0	84.4	96.0
1999	6	3	6	65.0	71.8	77.2	83.8	87.6	100.0
1999	6	3	7	0.0	41.5	52.1	57.3	65.3	95.8
1999	6	3	8	0.0	0.0	0.0	1.4	8.8	19.8
1999	6	3	99	51.5	55.1	59.2	63.1	65.5	76.7
1999	6	99	1	2.6	5.6	8.6	12.2	14.9	26.6
1999	6	99	2	16.8	25.5	29.5	33.8	41.0	54.8
1999	6	99	3	30.9	42.3	47.8	53.5	64.1	73.1
1999	6	99	4	27.2	38.1	48.4	55.7	60.6	70.1
1999	6	99	5	30.2	39.1	44.7	51.5	56.6	64.7
1999	6	99	6	16.7	28.0	33.8	38.5	44.1	63.0
1999	6	99	7	5.2	13.4	15.3	19.3	25.3	44.8
1999	6	99	8	0.0	0.5	0.8	1.1	1.5	2.6
1999	6	99	99	17.1	22.6	26.5	30.4	34.4	43.4
1999	99	1	1	0.0	11.1	15.5	21.2	26.2	48.5
1999	99	1	2	22.4	41.7	51.0	60.7	66.7	85.3
1999	99	1	3	28.7	42.9	52.2	60.2	68.6	87.0
1999	99	1	4	20.9	45.4	55.8	62.2	66.3	80.3
1999	99	1	5	40.6	50.4	56.6	60.1	66.2	75.8
1999	99	1	6	34.4	46.8	51.2	55.0	58.5	70.3
1999	99	1	7	19.3	24.7	30.0	32.9	37.4	46.2
1999	99	1	8	0.2	0.7	1.0	1.2	1.7	3.6
1999	99	1	99	21.7	23.7	26.1	28.7	31.1	36.8
1999	99	2	1	4.7	9.3	11.9	13.9	19.8	32.4
1999	99	2	2	28.6	36.0	40.8	45.6	52.1	64.2
1999	99	2	3	46.2	58.7	65.1	70.7	76.8	88.8
1999	99	2	4	49.2	63.7	68.1	71.1	76.0	85.2
1999	99	2	5	57.6	63.8	68.7	70.9	75.1	82.9
1999	99	2	6	54.2	62.6	66.4	70.8	73.2	83.4
1999	99	2	7	24.9	37.6	42.8	49.5	54.3	63.4
1999	99	2	8	0.0	1.4	2.8	3.9	6.3	16.5
1999	99	2	99	39.0	48.1	53.0	55.2	60.4	67.6
1999	99	3	1	0.0	0.0	0.0	0.0	26.8	100.0
1999	99	3	2	7.5	19.0	24.8	30.6	37.7	59.2
1999	99	3	3	29.3	49.4	53.7	59.2	67.7	78.4
