year	prov_resid	sexo	estud_gr	edad_gr	tocup
1996	6	6	3	8	11.2
1996	6	6	3	99	55.7
1996	6	6	99	1	12.2
1996	6	6	99	2	28.3
1996	6	6	99	3	33.1
1996	6	6	99	4	32.4
1996	6	6	99	5	32.1
1996	6	6	99	6	19.6
1996	6	6	99	7	6.4
1996	6	6	99	8	0.4
1996	6	6	99	99	18.3
1996	6	99	1	1	21.3
1996	6	99	1	2	44.9
1996	6	99	1	3	42.2
1996	6	99	1	4	36.2
1996	6	99	1	5	42.8
1996	6	99	1	6	39.0
1996	6	99	1	7	21.2
1996	6	99	1	8	0.9
1996	6	99	1	99	23.4
1996	6	99	2	1	12.7
1996	6	99	2	2	36.6
1996	6	99	2	3	48.2
1996	6	99	2	4	56.0
1996	6	99	2	5	62.9
1996	6	99	2	6	67.8
1996	6	99	2	7	46.8
1996	6	99	2	8	1.1
1996	6	99	2	99	42.3
1996	6	99	3	1	100.0
1996	6	99	3	2	16.1
1996	6	99	3	3	55.8
1996	6	99	3	4	76.5
1996	6	99	3	5	85.1
1996	6	99	3	6	89.9
1996	6	99	3	7	68.9
1996	6	99	3	8	13.4
1996	6	99	3	99	63.7
1996	6	99	99	1	13.8
1996	6	99	99	2	35.9
1996	6	99	99	3	47.8
1996	6	99	99	4	51.8
1996	6	99	99	5	53.6
1996	6	99	99	6	46.1
1996	6	99	99	7	24.3
1996	6	99	99	8	1.1
1996	6	99	99	99	32.6
1996	7	1	1	1	48.1
1996	7	1	1	2	70.1
1996	7	1	1	3	68.6
1996	7	1	1	4	76.7
1996	7	1	1	5	85.6
1996	7	1	1	6	83.1
1996	7	1	1	7	51.2
1996	7	1	1	8	0.7
1996	7	1	1	99	49.2
1996	7	1	2	1	20.5
1996	7	1	2	2	62.0
1996	7	1	2	3	81.9
1996	7	1	2	4	91.2
1996	7	1	2	5	87.0
1996	7	1	2	6	84.0
1996	7	1	2	7	54.0
1996	7	1	2	8	4.2
1996	7	1	2	99	68.4
1996	7	1	3	2	38.6
1996	7	1	3	3	76.7
1996	7	1	3	4	90.3
1996	7	1	3	5	96.3
1996	7	1	3	6	93.6
1996	7	1	3	7	64.3
1996	7	1	3	8	2.0
1996	7	1	3	99	72.7
1996	7	1	99	1	22.4
1996	7	1	99	2	61.4
1996	7	1	99	3	80.5
1996	7	1	99	4	88.8
1996	7	1	99	5	87.5
1996	7	1	99	6	84.5
1996	7	1	99	7	53.4
1996	7	1	99	8	1.2
1996	7	1	99	99	61.3
1996	7	6	1	1	32.8
1996	7	6	1	2	53.7
1996	7	6	1	3	56.5
1996	7	6	1	4	59.1
1996	7	6	1	5	45.7
1996	7	6	1	6	37.6
1996	7	6	1	7	20.1
1996	7	6	1	8	0.7
1996	7	6	1	99	22.3
1996	7	6	2	1	15.0
1996	7	6	2	2	50.8
1996	7	6	2	3	60.8
1996	7	6	2	4	55.4
1996	7	6	2	5	61.1
1996	7	6	2	6	46.3
1996	7	6	2	7	31.3
1996	7	6	2	8	3.7
1996	7	6	2	99	46.5
1996	7	6	3	1	0.0
1996	7	6	3	2	49.4
1996	7	6	3	3	73.9
1996	7	6	3	4	77.3
1996	7	6	3	5	85.9
1996	7	6	3	6	65.5
1996	7	6	3	7	23.4
1996	7	6	3	8	0.0
1996	7	6	3	99	66.0
1996	7	6	99	1	16.0
1996	7	6	99	2	50.7
1996	7	6	99	3	62.8
1996	7	6	99	4	59.0
1996	7	6	99	5	57.0
1996	7	6	99	6	42.2
1996	7	6	99	7	22.5
1996	7	6	99	8	1.0
1996	7	6	99	99	36.8
1996	7	99	1	1	41.0
1996	7	99	1	2	65.2
1996	7	99	1	3	62.7
1996	7	99	1	4	67.7
1996	7	99	1	5	63.2
1996	7	99	1	6	59.4
1996	7	99	1	7	34.2
1996	7	99	1	8	0.7
1996	7	99	1	99	34.3
1996	7	99	2	1	17.8
1996	7	99	2	2	56.7
1996	7	99	2	3	72.0
1996	7	99	2	4	73.6
1996	7	99	2	5	75.0
1996	7	99	2	6	66.4
1996	7	99	2	7	42.6
1996	7	99	2	8	3.9
1996	7	99	2	99	57.9
1996	7	99	3	1	0.0
1996	7	99	3	2	46.4
1996	7	99	3	3	74.9
1996	7	99	3	4	83.4
1996	7	99	3	5	91.3
1996	7	99	3	6	82.0
1996	7	99	3	7	53.8
1996	7	99	3	8	1.6
1996	7	99	3	99	69.5
1996	7	99	99	1	19.3
1996	7	99	99	2	56.2
1996	7	99	99	3	71.7
1996	7	99	99	4	73.9
1996	7	99	99	5	72.3
1996	7	99	99	6	63.6
1996	7	99	99	7	37.5
1996	7	99	99	8	1.1
1996	7	99	99	99	48.7
1996	8	1	1	1	33.0
1996	8	1	1	2	58.0
1996	8	1	1	3	57.1
1996	8	1	1	4	70.4
1996	8	1	1	5	82.8
1996	8	1	1	6	74.8
1996	8	1	1	7	43.5
1996	8	1	1	8	1.4
1996	8	1	1	99	46.1
1996	8	1	2	1	12.9
1996	8	1	2	2	47.5
1996	8	1	2	3	76.3
1996	8	1	2	4	83.5
1996	8	1	2	5	88.4
1996	8	1	2	6	86.9
1996	8	1	2	7	58.1
1996	8	1	2	8	1.3
1996	8	1	2	99	59.6
1996	8	1	3	1	100.0
1996	8	1	3	2	23.0
1996	8	1	3	3	70.6
1996	8	1	3	4	88.2
1996	8	1	3	5	95.5
1996	8	1	3	6	98.5
1996	8	1	3	7	72.2
1996	8	1	3	8	22.0
1996	8	1	3	99	76.5
1996	8	1	99	1	14.3
1996	8	1	99	2	46.3
1996	8	1	99	3	72.9
1996	8	1	99	4	82.2
1996	8	1	99	5	87.7
1996	8	1	99	6	81.8
1996	8	1	99	7	49.8
1996	8	1	99	8	2.6
1996	8	1	99	99	56.4
1996	8	6	1	1	25.7
1996	8	6	1	2	53.8
1996	8	6	1	3	26.1
1996	8	6	1	4	28.0
1996	8	6	1	5	42.0
1996	8	6	1	6	32.9
1996	8	6	1	7	16.2
1996	8	6	1	8	0.5
1996	8	6	1	99	18.3
1996	8	6	2	1	9.0
1996	8	6	2	2	45.5
1996	8	6	2	3	59.8
